# mpedb sqllogictest corpus baseline.
# Regenerate deliberately with --write-baseline; never by hand.
# root /home/morten/sqllogictest/test
# key	total	pass	unsupported	wrong	errmis	skipped	fatal
index/in/100/slt_good_1.test	10127	10127	0	0	0	0	0
index/in/100/slt_good_2.test	10128	10128	0	0	0	0	0
index/in/100/slt_good_3.test	10126	10126	0	0	0	0	0
index/in/100/slt_good_4.test	10127	10127	0	0	0	0	0
index/in/1000/slt_good_0.test	11028	11028	0	0	0	0	0
index/in/1000/slt_good_1.test	11024	11024	0	0	0	0	0
index/orderby/10/slt_good_0.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_1.test	10054	10054	0	0	0	0	0
index/orderby/10/slt_good_10.test	10051	10051	0	0	0	0	0
index/orderby/10/slt_good_11.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_12.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_13.test	10051	10051	0	0	0	0	0
index/orderby/10/slt_good_14.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_15.test	10052	10052	0	0	0	0	0
index/orderby/10/slt_good_16.test	10050	10050	0	0	0	0	0
index/orderby/10/slt_good_17.test	10054	10054	0	0	0	0	0
index/orderby/10/slt_good_18.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_19.test	10052	10052	0	0	0	0	0
index/orderby/10/slt_good_2.test	10051	10051	0	0	0	0	0
index/orderby/10/slt_good_20.test	10052	10052	0	0	0	0	0
index/orderby/10/slt_good_21.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_22.test	10052	10052	0	0	0	0	0
index/orderby/10/slt_good_23.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_24.test	10051	10051	0	0	0	0	0
index/orderby/10/slt_good_25.test	10053	10053	0	0	0	0	0
index/orderby/10/slt_good_3.test	10051	10051	0	0	0	0	0
index/orderby/10/slt_good_4.test	10052	10052	0	0	0	0	0
index/orderby/10/slt_good_5.test	10051	10051	0	0	0	0	0
index/orderby/10/slt_good_6.test	10048	10048	0	0	0	0	0
index/orderby/10/slt_good_7.test	10052	10052	0	0	0	0	0
index/orderby/10/slt_good_8.test	10051	10051	0	0	0	0	0
index/orderby/10/slt_good_9.test	10050	10050	0	0	0	0	0
index/orderby/100/slt_good_0.test	10141	10141	0	0	0	0	0
index/orderby/100/slt_good_1.test	10140	10140	0	0	0	0	0
index/orderby/100/slt_good_2.test	10142	10142	0	0	0	0	0
index/orderby/100/slt_good_3.test	10140	10140	0	0	0	0	0
index/orderby/1000/slt_good_0.test	11043	11043	0	0	0	0	0
index/orderby_nosort/10/slt_good_0.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_1.test	10051	10051	0	0	0	0	0
index/orderby_nosort/10/slt_good_10.test	10051	10051	0	0	0	0	0
index/orderby_nosort/10/slt_good_11.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_12.test	10051	10051	0	0	0	0	0
index/orderby_nosort/10/slt_good_13.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_14.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_15.test	10054	10054	0	0	0	0	0
index/orderby_nosort/10/slt_good_16.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_17.test	10050	10050	0	0	0	0	0
index/orderby_nosort/10/slt_good_18.test	10050	10050	0	0	0	0	0
index/orderby_nosort/10/slt_good_19.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_2.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_20.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_21.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_22.test	10054	10054	0	0	0	0	0
index/orderby_nosort/10/slt_good_23.test	10051	10051	0	0	0	0	0
index/orderby_nosort/10/slt_good_24.test	10054	10054	0	0	0	0	0
index/orderby_nosort/10/slt_good_25.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_26.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_27.test	10051	10051	0	0	0	0	0
index/orderby_nosort/10/slt_good_28.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_29.test	10050	10050	0	0	0	0	0
index/orderby_nosort/10/slt_good_3.test	10051	10051	0	0	0	0	0
index/orderby_nosort/10/slt_good_30.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_31.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_32.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_33.test	10050	10050	0	0	0	0	0
index/orderby_nosort/10/slt_good_34.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_35.test	10049	10049	0	0	0	0	0
index/orderby_nosort/10/slt_good_36.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_37.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_38.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_39.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_4.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_5.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_6.test	10053	10053	0	0	0	0	0
index/orderby_nosort/10/slt_good_7.test	10052	10052	0	0	0	0	0
index/orderby_nosort/10/slt_good_8.test	10054	10054	0	0	0	0	0
index/orderby_nosort/10/slt_good_9.test	10055	10055	0	0	0	0	0
index/orderby_nosort/100/slt_good_0.test	10149	10149	0	0	0	0	0
